time,open,high,low,close,EMA_9,EMA_21,EMA_50,RSI_9,RSI_14,RSI_21,WILLR_15,WILLR_23,WILLR_42,WILLR_145,SAR,BB_upper,BB_middle,BB_lower,BB_width,MACD,MACD_signal,MACD_hist,CCI_14,rolling_mean_open,rolling_std_open,rolling_mean_close,rolling_std_close,rolling_mean_high,rolling_std_high,rolling_mean_low,rolling_std_low,open_lag_1,close_lag_1,high_lag_1,low_lag_1,open_lag_2,close_lag_2,high_lag_2,low_lag_2,open_lag_3,close_lag_3,high_lag_3,low_lag_3,open_lag_4,close_lag_4,high_lag_4,low_lag_4,open_lag_5,close_lag_5,high_lag_5,low_lag_5,b_flag,s_flag
2024-06-26,1.36571,1.3707799999999999,1.36473,1.37018,1.369261368800328,1.369475685969216,1.3675644803524967,51.73455766763345,51.512092578425225,51.78557886890795,-54.24954792043437,-47.64425622022278,-44.598612487611895,-21.59090909090916,1.3764835482495998,1.377901790106179,1.3699740000000014,1.3620462098938237,0.015855580212355225,0.00022534700384491124,0.0008562115999723912,-0.0006308645961274799,-78.4600218875062,1.367782,0.0020331674782109186,1.367996,0.002106781905781818,1.3707259999999999,0.0015924760592003627,1.365606,0.00226903724057771,1.36554,1.36577,1.36808,1.36259,1.36877,1.36572,1.37083,1.36501,1.3688500000000001,1.36944,1.37184,1.36746,1.37004,1.36887,1.3721,1.3682400000000001,1.37172,1.37058,1.3726,1.36982,0,0
2024-06-27,1.37013,1.37125,1.36757,1.3700700000000001,1.3694230950402624,1.3695297145174692,1.3676627360249478,51.41532856753231,51.3331147823886,51.677388449247395,-54.91259795057199,-48.22657490735794,-45.143706640237426,-21.755382775119436,1.3753720643896319,1.3779534315707855,1.370076500000001,1.3621995684292165,0.015753863141569013,0.0002540968896378448,0.0007357886579054819,-0.00048169176826763703,-45.2609890109819,1.3678000000000001,0.0020583974335521863,1.368236,0.002291490780808253,1.3705559999999999,0.0014479399155790486,1.365472,0.002087084090095142,1.36571,1.37018,1.3707799999999999,1.36473,1.36554,1.36577,1.36808,1.36259,1.36877,1.36572,1.37083,1.36501,1.3688500000000001,1.36944,1.37184,1.36746,1.37004,1.36887,1.3721,1.3682400000000001,0,0
2024-06-28,1.37004,1.37343,1.36554,1.3679000000000001,1.36911847603221,1.3693815586522446,1.3676720404945577,45.22241453631064,47.80445288933287,49.53381629359356,-67.99276672694324,-59.7141344626782,-55.896927651139286,-24.999999999999837,1.3743494992384613,1.3775151603419176,1.370343000000001,1.3631708396580844,0.014344320683833178,0.000100620624778891,0.0006087550512801637,-0.0005081344265012727,-53.260596940055706,1.3680379999999999,0.0022682526302085725,1.367928,0.00219047255142124,1.370874,0.0019033995899772284,1.3650879999999999,0.0017845783813349874,1.37013,1.3700700000000001,1.37125,1.36757,1.36571,1.37018,1.3707799999999999,1.36473,1.36554,1.36577,1.36808,1.36259,1.36877,1.36572,1.37083,1.36501,1.3688500000000001,1.36944,1.37184,1.36746,0,0
2024-07-01,1.3669799999999999,1.37491,1.36635,1.37354,1.370002780825768,1.369759598774768,1.3679021565535947,59.48966202473712,56.2266641038767,54.665661001243,-33.9963833634723,-29.857067231339688,-27.948463825570194,-16.566985645933027,1.36259,1.377273217372836,1.3708815000000008,1.3644897826271656,0.012783434745670341,0.00042914354405154675,0.0005728327498344403,-0.00014368920578289356,29.947460595444998,1.36768,0.0022650938158180344,1.369492,0.0028974764880022727,1.3716899999999999,0.0026196278359953747,1.3653559999999998,0.0018685769984478375,1.37004,1.3679000000000001,1.37343,1.36554,1.37013,1.3700700000000001,1.37125,1.36757,1.36571,1.37018,1.3707799999999999,1.36473,1.36554,1.36577,1.36808,1.36259,1.36877,1.36572,1.37083,1.36501,0,0
2024-07-02,1.37358,1.37554,1.3667500000000001,1.36782,1.3695662246606144,1.3695832716134253,1.3678989347279635,45.8610712299878,47.802201928888095,49.32443022564018,-65.92833876221448,-60.13763896241393,-56.293359762140675,-25.119617224880336,1.3628364,1.3772612351528175,1.3708935000000007,1.3645257648471838,0.012735470305633712,0.0002253464746035938,0.0005033354947882711,-0.00027798902018467725,-13.97614939721415,1.3692879999999998,0.003075088615701452,1.3699020000000002,0.002328265448466881,1.373182,0.002127785233315326,1.366188,0.0010951803500468993,1.3669799999999999,1.37354,1.37491,1.36635,1.37004,1.3679000000000001,1.37343,1.36554,1.37013,1.3700700000000001,1.37125,1.36757,1.36571,1.37018,1.3707799999999999,1.36473,1.36554,1.36577,1.36808,1.36259,0,0
2024-07-03,1.36783,1.36867,1.36173,1.36395,1.3684429797284916,1.3690711560122049,1.367744074542553,39.05156860015516,43.097310019552,46.12296911325984,-86.30475015422634,-80.62466913710968,-75.47076313181374,-30.90610047846893,1.37554,1.3776531808379469,1.3706220000000007,1.3635908191620545,0.014062361675892365,-0.0002456095937628522,0.0003535464770780464,-0.0005991560708408986,-159.7871126752926,1.369712,0.0025617123168704715,1.368656,0.0035096196373008734,1.37276,0.0028199290769656913,1.365588,0.002277371291451674,1.37358,1.36782,1.37554,1.3667500000000001,1.3669799999999999,1.37354,1.37491,1.36635,1.37004,1.3679000000000001,1.37343,1.36554,1.37013,1.3700700000000001,1.37125,1.36757,1.36571,1.37018,1.3707799999999999,1.36473,0,0
2024-07-04,1.36368,1.36398,1.36082,1.3613,1.3670143837827933,1.3683646872838227,1.3674913657369627,35.04324361114298,40.18094746287203,44.06651480056208,-97.19626168224279,-97.3856209150325,-88.60257680872171,-34.86842105263168,1.37554,1.3783267339991236,1.3703400000000008,1.362353266000878,0.015973467998245727,-0.0008231893100754117,0.00011819931964735474,-0.0009413886297227665,-193.94426580921143,1.368422,0.0036789699637858105,1.366902,0.004636768270954712,1.3713060000000001,0.0049001459161054015,1.3642379999999998,0.0027585630315669677,1.36783,1.36395,1.36867,1.36173,1.37358,1.36782,1.37554,1.3667500000000001,1.3669799999999999,1.37354,1.37491,1.36635,1.37004,1.3679000000000001,1.37343,1.36554,1.37013,1.3700700000000001,1.37125,1.36757,0,0
2024-07-05,1.36096,1.36534,1.36025,1.3642,1.3664515070262346,1.3679860793489298,1.3673622925708073,42.330667236433484,44.59914024307348,46.79245576731449,-75.61728395061652,-79.1336502905436,-74.23191278493523,-30.53229665071761,1.3749512,1.3776044392069302,1.369723000000001,1.3618415607930716,0.015762878413858594,-0.0010349889247356359,-0.00011243832922924342,-0.0009225505955063924,-126.3232291503146,1.366606,0.004762182272286924,1.366162,0.004731946745107552,1.369688,0.00533942599903149,1.36318,0.0031245319648113157,1.36368,1.3613,1.36398,1.36082,1.36783,1.36395,1.36867,1.36173,1.37358,1.36782,1.37554,1.3667500000000001,1.3669799999999999,1.37354,1.37491,1.36635,1.37004,1.3679000000000001,1.37343,1.36554,0,0
2024-07-08,1.36442,1.36476,1.36242,1.3633600000000001,1.3658332056209876,1.3675655266808453,1.3672053399209718,40.83771826076399,43.594743648987475,46.10901481924444,-79.83138780804039,-83.57105124141495,-78.39444995044538,-31.788277511961557,1.374069128,1.3769490055283566,1.3691055000000008,1.3612619944716449,0.015687011056711775,-0.0012561425951989058,-0.0003411791824231759,-0.0009149634127757299,-99.09948506001508,1.366094,0.004848750353905287,1.3641260000000002,0.0023587666265527216,1.367658,0.00475524131870765,1.362394,0.0025734471043966445,1.36096,1.3642,1.36534,1.36025,1.36368,1.3613,1.36398,1.36082,1.36783,1.36395,1.36867,1.36173,1.37358,1.36782,1.37554,1.3667500000000001,1.3669799999999999,1.37354,1.37491,1.36635,0,0
2024-07-09,1.3634,1.3648500000000001,1.36273,1.36347,1.36536056449679,1.3671932060734957,1.3670588560025023,41.143527079561515,43.773318083085876,46.217026981711435,-78.94048397645524,-82.98996302165884,-77.84935579781985,-31.62380382775128,1.37323998032,1.376071815121697,1.3684905000000007,1.3609091848783044,0.015162630243392705,-0.0014063211963288857,-0.0005542075852043179,-0.0008521136111245679,-80.4291399896107,1.364058,0.002476513677439892,1.363256,0.0011462242357152626,1.3655199999999998,0.00182708784658992,1.36159,0.0010484035478416,1.36442,1.3633600000000001,1.36476,1.36242,1.36096,1.3642,1.36534,1.36025,1.36368,1.3613,1.36398,1.36082,1.36783,1.36395,1.36867,1.36173,1.37358,1.36782,1.37554,1.3667500000000001,0,0
