time,open,high,low,close,WILLR_15,WILLR_23,WILLR_42,WILLR_145,rolling_mean_open,rolling_std_open,rolling_mean_close,rolling_std_close,rolling_mean_high,rolling_std_high,rolling_mean_low,rolling_std_low,open_lag_1,close_lag_1,high_lag_1,low_lag_1,open_lag_2,close_lag_2,high_lag_2,low_lag_2,open_lag_3,close_lag_3,high_lag_3,low_lag_3,open_lag_4,close_lag_4,high_lag_4,low_lag_4,open_lag_5,close_lag_5,high_lag_5,low_lag_5,b_flag,s_flag
2017-01-20,1.00524,1.00933,1.00018,1.00018,-98.20112061338806,-98.20112061338806,-98.24510932105837,-42.23871366728499,1.006656,0.003625828181279435,1.00514,0.004571657248707382,1.010904,0.0024550213848134545,1.0027000000000001,0.003869799736510724,1.00651,1.00599,1.01216,1.00413,1.00147,1.00689,1.00748,1.00076,1.0107,1.0012,1.01196,0.99957,1.00936,1.01144,1.01359,1.00886,1.01028,1.00752,1.01212,1.00415,0,0
2017-01-23,1.00077,1.00229,0.9959,0.99597,-99.81373070782327,-99.81373070782327,-99.81785063752274,-47.4458874458874,1.0049379999999999,0.004036157826467907,1.002046,0.004475905494944491,1.0086439999999999,0.00404836139689606,1.000108,0.002941236134809438,1.00524,1.00018,1.00933,1.00018,1.00651,1.00599,1.01216,1.00413,1.00147,1.00689,1.00748,1.00076,1.0107,1.0012,1.01196,0.99957,1.00936,1.01144,1.01359,1.00886,0,0
2017-01-24,0.99613,1.00187,0.99569,1.00077,-84.77218225419675,-86.55729028843616,-86.85300207039344,-41.508967223252995,1.002024,0.004095287535711525,1.00196,0.004500288879580375,1.006626,0.004474553609005721,0.9993319999999999,0.003564473313227611,1.00077,0.99597,1.00229,0.9959,1.00524,1.00018,1.00933,1.00018,1.00651,1.00599,1.01216,1.00413,1.00147,1.00689,1.00748,1.00076,1.0107,1.0012,1.01196,0.99957,0,0
2017-01-25,1.00089,1.00257,0.99656,0.99908,-88.35051546391756,-91.0293728499603,-91.22670807453416,-43.59925788497219,1.0019079999999998,0.004123023162699184,1.0003980000000001,0.003633203820277944,1.005644,0.004769347963805987,0.998492,0.0036379485978659783,0.99613,1.00077,1.00187,0.99569,1.00077,0.99597,1.00229,0.9959,1.00524,1.00018,1.00933,1.00018,1.00651,1.00599,1.01216,1.00413,1.00147,1.00689,1.00748,1.00076,0,0
2017-01-26,0.9988,1.00258,0.99679,0.99952,-86.83848797250864,-89.86504366234453,-90.08799171842651,-43.05504019789736,1.000366,0.003338776722117193,0.999104,0.0018660734175504762,1.0037280000000002,0.0031448879153077643,0.997024,0.001821628392598499,1.00089,0.99908,1.00257,0.99656,0.99613,1.00077,1.00187,0.99569,1.00077,0.99597,1.00229,0.9959,1.00524,1.00018,1.00933,1.00018,1.00651,1.00599,1.01216,1.00413,0,0
2017-01-27,0.99858,1.00273,0.9969,0.99898,-88.69415807560136,-91.29399311987294,-91.48550724637677,-43.722943722943725,0.999034,0.0019463118969348088,0.998864,0.0017676622979770772,1.002408,0.0003401764245806101,0.996368,0.0005423744100927514,0.9988,0.99952,1.00258,0.99679,1.00089,0.99908,1.00257,0.99656,0.99613,1.00077,1.00187,0.99569,1.00077,0.99597,1.00229,0.9959,1.00524,1.00018,1.00933,1.00018,0,0
2017-01-30,0.99649,1.00442,0.99333,0.99485,-95.16846789574073,-96.21419676214204,-96.29268292682934,-48.831168831168796,0.998178,0.0019330726836176693,0.99864,0.0022352069254748304,1.002834,0.0009473278206846388,0.9958539999999999,0.001488801531677546,0.99858,0.99898,1.00273,0.9969,0.9988,0.99952,1.00258,0.99679,1.00089,0.99908,1.00257,0.99656,0.99613,1.00077,1.00187,0.99569,1.00077,0.99597,1.00229,0.9959,0,0
2017-01-31,0.9947,0.99657,0.9861,0.98875,-93.15068493150677,-94.40692275221603,-94.50549450549441,-56.37600494743348,0.997892,0.0023685586334621983,0.996236,0.0045924862547101885,1.001774,0.0030116490499121186,0.993936,0.0046256383344067354,0.99649,0.99485,1.00442,0.99333,0.99858,0.99898,1.00273,0.9969,0.9988,0.99952,1.00258,0.99679,1.00089,0.99908,1.00257,0.99656,0.99613,1.00077,1.00187,0.99569,0,0
2017-02-01,0.98917,0.99551,0.98834,0.99262,-77.35324765543609,-86.23891937526389,-86.48144308521672,-51.589363017934495,0.995548,0.003938714257234824,0.9949439999999999,0.004500125553771625,1.000362,0.004028507167652468,0.992292,0.004911778700301906,0.9947,0.98875,0.99657,0.9861,0.99649,0.99485,1.00442,0.99333,0.99858,0.99898,1.00273,0.9969,0.9988,0.99952,1.00258,0.99679,1.00089,0.99908,1.00257,0.99656,0,0
2017-02-02,0.9924,0.99379,0.98693,0.99258,-76.42779192433599,-86.32334318277745,-86.56437901720912,-51.63883735312302,0.9942679999999999,0.003646788998577104,0.9935560000000001,0.003742342849033911,0.9986039999999999,0.004683330011841522,0.99032,0.004625402685253152,0.98917,0.99262,0.99551,0.98834,0.9947,0.98875,0.99657,0.9861,0.99649,0.99485,1.00442,0.99333,0.99858,0.99898,1.00273,0.9969,0.9988,0.99952,1.00258,0.99679,0,0
2017-02-03,0.99256,0.9985,0.99064,0.99176,-79.41069479810842,-86.82188591385334,-88.26456562305619,-52.65306122448981,0.9930640000000001,0.002751005270831208,0.992112,0.0022023101506651057,0.9977579999999999,0.00409703185242805,0.989068,0.0029387871649290682,0.9924,0.99258,0.99379,0.98693,0.98917,0.99262,0.99551,0.98834,0.9947,0.98875,0.99657,0.9861,0.99649,0.99485,1.00442,0.99333,0.99858,0.99898,1.00273,0.9969,0,0
2017-02-06,0.99081,0.99611,0.99034,0.99045,-83.30775134305418,-88.75678469888844,-90.98071739581158,-54.273345701917044,0.991928,0.0020713932509640464,0.9912319999999999,0.0016427324796590825,0.996096,0.0017077119194403845,0.9884699999999998,0.0020131567253331554,0.99256,0.99176,0.9985,0.99064,0.9924,0.99258,0.99379,0.98693,0.98917,0.99262,0.99551,0.98834,0.9947,0.98875,0.99657,0.9861,0.99649,0.99485,1.00442,0.99333,0,0
2017-02-07,0.99055,1.00063,0.99033,0.99725,-57.2141212586339,-71.18118376841572,-76.88160895708067,-45.8627087198516,0.991098,0.001408286192553922,0.992932,0.0025690601393736356,0.996908,0.0026786601127809606,0.989316,0.0016182799512910729,0.99081,0.99045,0.99611,0.99034,0.99256,0.99176,0.9985,0.99064,0.9924,0.99258,0.99379,0.98693,0.98917,0.99262,0.99551,0.98834,0.9947,0.98875,0.99657,0.9861,0,0
2017-02-08,0.99715,0.99992,0.99297,0.99442,-68.07367613200306,-78.49573533212725,-82.74932614555257,-49.363017934446525,0.992694,0.0026507791307727588,0.993292,0.002639558675179758,0.99779,0.0028252875959465457,0.990242,0.002155636797038624,0.99055,0.99725,1.00063,0.99033,0.99081,0.99045,0.99611,0.99034,0.99256,0.99176,0.9985,0.99064,0.9924,0.99258,0.99379,0.98693,0.98917,0.99262,0.99551,0.98834,0,0
2017-02-09,0.99435,1.00185,0.9936,1.00133,-34.43822643133869,-60.63582321013174,-68.42214389384185,-40.81632653061216,0.993084,0.0027387004217586347,0.9950420000000001,0.004377758558864157,0.9994019999999999,0.002203399645960694,0.9915759999999999,0.001580832059626066,0.99715,0.99442,0.99992,0.99297,0.99055,0.99725,1.00063,0.99033,0.99081,0.99045,0.99611,0.99034,0.99256,0.99176,0.9985,0.99064,0.9924,0.99258,0.99379,0.98693,0,0
2017-02-10,1.0012,1.00619,1.00082,1.00145,-23.593827775012347,-60.32566554665306,-68.17333609786445,-40.66790352504642,0.9948119999999999,0.004490737133271509,0.99698,0.004694965388551709,1.00094,0.0036351066008894197,0.9936119999999999,0.00429665800369702,0.99435,1.00133,1.00185,0.9936,0.99715,0.99442,0.99992,0.99297,0.99055,0.99725,1.00063,0.99033,0.99081,0.99045,0.99611,0.99034,0.99256,0.99176,0.9985,0.99064,0,0
2017-02-13,1.00233,1.00688,1.00185,1.00543,-6.97786333012488,-32.85863146926014,-59.20219501899519,-35.745207173778525,0.9971159999999999,0.004863874998408829,0.999976,0.004244181899928898,1.0030940000000002,0.0032253728466402998,0.995914,0.005111450870420648,1.0012,1.00145,1.00619,1.00082,0.99435,1.00133,1.00185,0.9936,0.99715,0.99442,0.99992,0.99297,0.99055,0.99725,1.00063,0.99033,0.99081,0.99045,0.99611,0.99034,0,0
2017-02-14,1.00522,1.00842,1.00306,1.00586,-11.469534050179679,-28.119316114950934,-58.294639088222866,-35.21335807050093,1.00005,0.0043055139066261,1.001698,0.00459391662959566,1.004652,0.003597578352149594,0.99846,0.004795346702868717,1.00233,1.00543,1.00688,1.00185,1.0012,1.00145,1.00619,1.00082,0.99435,1.00133,1.00185,0.9936,0.99715,0.99442,0.99992,0.99297,0.99055,0.99725,1.00063,0.99033,0,0
2017-02-15,1.00593,1.01182,1.00468,1.00496,-26.671850699843997,-31.39323390323722,-60.19417475728133,-36.32653061224478,1.0018059999999998,0.004606965378657954,1.003806,0.002228750771096893,1.007032,0.0036206587798178246,1.000802,0.0042750695901592065,1.00522,1.00586,1.00842,1.00306,1.00233,1.00543,1.00688,1.00185,1.0012,1.00145,1.00619,1.00082,0.99435,1.00133,1.00185,0.9936,0.99715,0.99442,0.99992,0.99297,0,0
2017-02-16,1.00489,1.00565,0.99661,0.99674,-58.63141524105755,-59.171143514965486,-77.54326720135082,-46.49350649350652,1.003914,0.002036990427114323,1.002888,0.0038553041384137106,1.007792,0.0024801955567811365,1.0014040000000002,0.0030412546754097192,1.00593,1.00496,1.01182,1.00468,1.00522,1.00586,1.00842,1.00306,1.00233,1.00543,1.00688,1.00185,1.0012,1.00145,1.00619,1.00082,0.99435,1.00133,1.00185,0.9936,0,0
2017-02-17,0.99689,1.00332,0.99648,1.00214,-37.63608087091728,-38.4497313891018,-66.1460531869986,-39.81447124304261,1.0030519999999998,0.0037031365084417276,1.003026,0.003802956744385759,1.007218,0.003177675250851313,1.0005359999999999,0.0037793689950446833,1.00489,0.99674,1.00565,0.99661,1.00593,1.00496,1.01182,1.00468,1.00522,1.00586,1.00842,1.00306,1.00233,1.00543,1.00688,1.00185,1.0012,1.00145,1.00619,1.00082,0,0
2017-02-20,1.0023,1.0044,1.0011,1.00235,-36.81959564541167,-37.64389869531806,-65.7028281975515,-39.5547309833023,1.003046,0.0037046227878360276,1.00241,0.003557752099243569,1.006722,0.0034273634181203523,1.0003860000000002,0.0037287236423078837,0.99689,1.00214,1.00332,0.99648,1.00489,0.99674,1.00565,0.99661,1.00593,1.00496,1.01182,1.00468,1.00522,1.00586,1.00842,1.00306,1.00233,1.00543,1.00688,1.00185,0,0
2017-02-21,1.00237,1.01052,1.00203,1.0093,-10.124548011248931,-9.797822706064771,-51.034191642042806,-30.9585652442794,1.0024760000000001,0.0035001114268196154,1.003098,0.004578025775339106,1.007142,0.0037962771236927004,1.0001799999999998,0.0035690965244311525,1.0023,1.00235,1.0044,1.0011,0.99689,1.00214,1.00332,0.99648,1.00489,0.99674,1.00565,0.99661,1.00593,1.00496,1.01182,1.00468,1.00522,1.00586,1.00842,1.00306,0,0
