Pair,Signal,Approach,RSI (Buy/Sell),EMA (Short/Long),MACD (Short/Long/Signal),Risk/Reward,Final Equity,Return (%),Max Drawdown (%),Profit Factor,Sharpe Ratio,Win Rate (%),Total Trades,Avg Trade Duration,Equity Curve Image
EURUSD,Sell,Filter,60/40,11/29,12/27/10,1:1,836.3226033040021,-16.36773966959979,-49.56921805168986,0.5279994395851995,0.0,37.5,8,9 days,plots/EURUSD\EURUSD_Sell_Filter_RSI_60_40_EMA_11_29_MACD_12_27_10_RR_1_1.png
EURUSD,Sell,Filter,65/45,13/31,14/28/11,1:1,1278.713534137995,27.87135341379951,-17.32687701246024,2.70923837778399,0.6693974091304894,75.0,4,4 days,plots/EURUSD\EURUSD_Sell_Filter_RSI_65_45_EMA_13_31_MACD_14_28_11_RR_1_1.png
EURUSD,Sell,Filter,70/50,15/35,15/30/12,1:1,1150.9847029459995,15.098470294599952,-5.605278705399952,,0.5796975491316843,100.0,1,5 days,plots/EURUSD\EURUSD_Sell_Filter_RSI_70_50_EMA_15_35_MACD_15_30_12_RR_1_1.png
EURUSD,Sell,Filter,58/38,9/26,12/25/9,1:1,1068.7210737599967,6.872107375999667,-45.7608363173562,0.8655232400486649,0.11587612188993614,50.0,14,7 days,plots/EURUSD\EURUSD_Sell_Filter_RSI_58_38_EMA_9_26_MACD_12_25_9_RR_1_1.png
EURUSD,Sell,Filter,63/43,12/30,13/27/10,1:1,1035.3694484210002,3.5369448421000245,-36.781855940568185,0.8886481844519188,0.07720481155727743,50.0,6,9 days,plots/EURUSD\EURUSD_Sell_Filter_RSI_63_43_EMA_12_30_MACD_13_27_10_RR_1_1.png
EURUSD,Sell,Filter,68/48,14/34,14/28/11,1:1,952.1507933350038,-4.784920666499624,-17.656411836042384,0.8852890814474742,0.0,50.0,2,4 days,plots/EURUSD\EURUSD_Sell_Filter_RSI_68_48_EMA_14_34_MACD_14_28_11_RR_1_1.png
EURUSD,Sell,WithoutFilter,N/A,N/A,N/A,1:1,857.7203352890356,-14.227966471096442,-71.18233503928168,1.4917571908256917,0.0,62.19512195121951,82,7 days,plots/EURUSD\EURUSD_Sell_WithoutFilter_RR_1_1.png
GBPUSD,Buy,Filter,60/40,10/30,12/26/9,1:1,1069.178648161003,6.917864816100291,-10.203013878989452,3.981176994564817,0.4125192480447177,80.0,5,5 days,plots/GBPUSD\GBPUSD_Buy_Filter_RSI_60_40_EMA_10_30_MACD_12_26_9_RR_1_1.png
GBPUSD,Buy,Filter,65/40,12/28,13/25/9,1:1,1334.4723969100046,33.447239691000455,-16.42662745446656,2.783395991511861,0.9391299022591344,73.33333333333333,15,5 days,plots/GBPUSD\GBPUSD_Buy_Filter_RSI_65_40_EMA_12_28_MACD_13_25_9_RR_1_1.png
GBPUSD,Buy,Filter,70/45,14/32,14/24/10,1:1,1331.3670733150025,33.13670733150025,-19.545569349357717,3.0315067304720658,0.7566190894598853,75.0,20,7 days,plots/GBPUSD\GBPUSD_Buy_Filter_RSI_70_45_EMA_14_32_MACD_14_24_10_RR_1_1.png
GBPUSD,Buy,Filter,55/35,8/25,11/24/8,1:1,1084.555279882001,8.455527988200105,-2.354408011799991,,1.2122840305236715,100.0,1,6 days,plots/GBPUSD\GBPUSD_Buy_Filter_RSI_55_35_EMA_8_25_MACD_11_24_8_RR_1_1.png
GBPUSD,Buy,Filter,60/40,11/29,12/27/10,1:1,1069.178648161003,6.917864816100291,-10.203013878989452,3.981176994564817,0.4125192480447177,80.0,5,5 days,plots/GBPUSD\GBPUSD_Buy_Filter_RSI_60_40_EMA_11_29_MACD_12_27_10_RR_1_1.png
GBPUSD,Buy,Filter,65/45,13/31,14/28/11,1:1,1373.9228632840043,37.392286328400424,-16.42599486605939,2.141110940892616,0.8976572203980496,66.66666666666666,15,6 days,plots/GBPUSD\GBPUSD_Buy_Filter_RSI_65_45_EMA_13_31_MACD_14_28_11_RR_1_1.png
GBPUSD,Buy,Filter,70/50,15/35,15/30/12,1:1,1471.0671646840042,47.106716468400414,-18.3543077911536,2.7695338823815163,0.9234451350151621,72.22222222222221,18,6 days,plots/GBPUSD\GBPUSD_Buy_Filter_RSI_70_50_EMA_15_35_MACD_15_30_12_RR_1_1.png
GBPUSD,Buy,Filter,58/38,9/26,12/25/9,1:1,1079.399812393001,7.939981239300095,-10.202463243075,3.090122269402892,0.4586739162315409,75.0,4,5 days,plots/GBPUSD\GBPUSD_Buy_Filter_RSI_58_38_EMA_9_26_MACD_12_25_9_RR_1_1.png
GBPUSD,Buy,Filter,63/43,12/30,13/27/10,1:1,1455.1478003200039,45.51478003200039,-15.190034269334108,2.9963934875439753,1.2379311715066874,75.0,12,5 days,plots/GBPUSD\GBPUSD_Buy_Filter_RSI_63_43_EMA_12_30_MACD_13_27_10_RR_1_1.png
GBPUSD,Buy,Filter,68/48,14/34,14/28/11,1:1,1484.0014553580077,48.40014553580077,-14.509674243022118,3.5599602142977567,1.0556503722136035,76.47058823529412,17,6 days,plots/GBPUSD\GBPUSD_Buy_Filter_RSI_68_48_EMA_14_34_MACD_14_28_11_RR_1_1.png
GBPUSD,Buy,WithoutFilter,N/A,N/A,N/A,1:1,1398.2068348120206,39.82068348120206,-37.85135754839214,1.6293759908481986,0.44683895058868983,60.9375,64,6 days,plots/GBPUSD\GBPUSD_Buy_WithoutFilter_RR_1_1.png
GBPUSD,Sell,Filter,60/40,10/30,12/26/9,1:1,1062.3803486690003,6.238034866900034,-21.46570642829677,1.6634643527095843,0.19274882945212607,66.66666666666666,12,6 days,plots/GBPUSD\GBPUSD_Sell_Filter_RSI_60_40_EMA_10_30_MACD_12_26_9_RR_1_1.png
GBPUSD,Sell,Filter,65/40,12/28,13/25/9,1:1,1132.5441517480024,13.254415174800238,-18.522049320851032,1.635765239752387,0.3901967387417215,66.66666666666666,12,5 days,plots/GBPUSD\GBPUSD_Sell_Filter_RSI_65_40_EMA_12_28_MACD_13_25_9_RR_1_1.png
GBPUSD,Sell,Filter,70/45,14/32,14/24/10,1:1,976.7067383090006,-2.329326169099943,-8.214945568109922,0.7805349296659075,0.0,50.0,2,2 days,plots/GBPUSD\GBPUSD_Sell_Filter_RSI_70_45_EMA_14_32_MACD_14_24_10_RR_1_1.png
GBPUSD,Sell,Filter,55/35,8/25,11/24/8,1:1,1229.8692967100096,22.98692967100096,-24.12353390841515,1.5293441854940928,0.4642186895716101,64.28571428571429,28,5 days,plots/GBPUSD\GBPUSD_Sell_Filter_RSI_55_35_EMA_8_25_MACD_11_24_8_RR_1_1.png
GBPUSD,Sell,Filter,60/40,11/29,12/27/10,1:1,1062.3803486690003,6.238034866900034,-21.46570642829677,1.6634643527095843,0.19274882945212607,66.66666666666666,12,6 days,plots/GBPUSD\GBPUSD_Sell_Filter_RSI_60_40_EMA_11_29_MACD_12_27_10_RR_1_1.png
