run_id,adj_takeprofit,WIN/LOSS-Diff_4,WIN/LOSS-Diff_5,overall_precision,BreakEvenRatio,no_of_trades,false_positives,true_positives,early_stopping_triggered,precision,overall_trades,--dataset_name,--class_weight_0,--class_weight_1,--max_features,--n_components,--n_estimators,--random_state,--stop_loss,--take_profit,--threshold,precision_split_1,precision_split_2,precision_split_3,precision_split_4,precision_split_5
HD_22f559a6-02d0-43f1-8795-d42599179d43_738,,10.17,,0.6301758366420873,0.5,"[587, 470, 372, 236, 98]","[200, 172, 136, 94, 50]","[387, 298, 236, 142, 48]",True,0.4897959183673469,1763,EURUSD_D1_2010to101124,5,6,sqrt,30,150,0,1,1,0.55,0.6592844974446337,0.6340425531914894,0.6344086021505376,0.6016949152542372,0.4897959183673469
HD_22f559a6-02d0-43f1-8795-d42599179d43_672,,9.71,,0.636296840558413,0.5,"[449, 354, 264, 206, 88]","[141, 126, 96, 83, 49]","[308, 228, 168, 123, 39]",True,0.4431818181818182,1361,EURUSD_D1_2010to101124,6,10,log2,15,50,8,1,1,0.6,0.6859688195991092,0.6440677966101694,0.6363636363636364,0.5970873786407767,0.4431818181818182
HD_22f559a6-02d0-43f1-8795-d42599179d43_658,,9.55,,0.6296296296296297,0.5,"[546, 437, 323, 220, 94]","[183, 160, 117, 89, 51]","[363, 277, 206, 131, 43]",True,0.4574468085106383,1620,EURUSD_D1_2010to101124,5,10,sqrt,20,50,0,1,1,0.56,0.6648351648351648,0.6338672768878718,0.6377708978328174,0.5954545454545455,0.4574468085106383
HD_22f559a6-02d0-43f1-8795-d42599179d43_713,,9.41,1.06,0.6300813008130082,0.5,"[587, 454, 348, 239, 94]","[192, 172, 130, 97, 46]","[395, 282, 218, 142, 48]",,,1722,EURUSD_D1_2010to101124,6,20,log2,25,120,42,1,1,0.55,0.6729131175468483,0.6211453744493393,0.6264367816091954,0.5941422594142259,0.5106382978723404
HD_22f559a6-02d0-43f1-8795-d42599179d43_259,,9.14,,0.6165884194053208,0.5,"[593, 513, 396, 279, 136]","[202, 192, 150, 114, 77]","[391, 321, 246, 165, 59]",True,0.4338235294117647,1917,EURUSD_D1_2010to101124,10,5,log2,25,200,0,1,1,0.55,0.6593591905564924,0.6257309941520468,0.6212121212121212,0.5913978494623656,0.4338235294117647
HD_22f559a6-02d0-43f1-8795-d42599179d43_740,,9.13,,0.5998902305159166,0.5,"[616, 500, 347, 252, 107]","[232, 199, 137, 103, 58]","[384, 301, 210, 149, 49]",True,0.45794392523364486,1822,EURUSD_D1_2010to101124,1,20,log2,10,50,0,1,1,0.56,0.6233766233766234,0.602,0.6051873198847262,0.5912698412698413,0.45794392523364486
HD_22f559a6-02d0-43f1-8795-d42599179d43_348,,9.11,,0.6019159127195317,0.5,"[639, 493, 364, 269, 114]","[235, 195, 146, 110, 62]","[404, 298, 218, 159, 52]",True,0.45614035087719296,1879,EURUSD_D1_2010to101124,1,5,sqrt,10,150,8,1,1,0.56,0.6322378716744914,0.6044624746450304,0.5989010989010989,0.5910780669144982,0.45614035087719296
HD_22f559a6-02d0-43f1-8795-d42599179d43_349,,8.93,,0.6335149863760218,0.5,"[450, 391, 303, 224, 100]","[132, 141, 115, 92, 58]","[318, 250, 188, 132, 42]",True,0.42,1468,EURUSD_D1_2010to101124,15,5,log2,30,200,8,1,1,0.6,0.7066666666666667,0.639386189258312,0.6204620462046204,0.5892857142857143,0.42
HD_22f559a6-02d0-43f1-8795-d42599179d43_86,,8.85,,0.5474452554744526,0.3333333333333333,"[53, 64, 78, 64, 15]","[11, 30, 34, 37, 12]","[42, 34, 44, 27, 3]",True,0.2,274,EURUSD_D1_2010to101124,5,6,log2,30,100,8,1,2,0.55,0.7924528301886793,0.53125,0.5641025641025641,0.421875,0.2
HD_22f559a6-02d0-43f1-8795-d42599179d43_795,,8.77,,0.48792270531400966,0.3333333333333333,"[141, 95, 95, 57, 26]","[64, 49, 48, 33, 18]","[77, 46, 47, 24, 8]",True,0.3076923076923077,414,EURUSD_D1_2010to101124,1,10,log2,25,120,26,1,2,0.56,0.5460992907801419,0.4842105263157895,0.49473684210526314,0.42105263157894735,0.3076923076923077
HD_22f559a6-02d0-43f1-8795-d42599179d43_4,,8.6,,0.5337837837837838,0.3333333333333333,"[56, 76, 80, 62, 22]","[17, 29, 39, 36, 17]","[39, 47, 41, 26, 5]",True,0.22727272727272727,296,EURUSD_D1_2010to101124,20,20,sqrt,30,200,42,1,2,0.56,0.6964285714285714,0.618421052631579,0.5125,0.41935483870967744,0.22727272727272727
